Week,Winner,Loser,PtsW,PtsL,Team,Opponent,Win Prob
17,New Orleans Saints,Carolina Panthers,42,10,Carolina Panthers,New Orleans Saints,0.43243243243243246
17,Kansas City Chiefs,Los Angeles Chargers,31,21,Los Angeles Chargers,Kansas City Chiefs,0.4878048780487805
17,Green Bay Packers,Detroit Lions,23,20,Detroit Lions,Green Bay Packers,0.41935483870967744
17,Atlanta Falcons,Tampa Bay Buccaneers,28,22,Tampa Bay Buccaneers,Atlanta Falcons,0.43333333333333335
17,Miami Dolphins,New England Patriots,27,24,New England Patriots,Miami Dolphins,0.71875
17,Chicago Bears,Minnesota Vikings,21,19,Minnesota Vikings,Chicago Bears,0.5
17,Cincinnati Bengals,Cleveland Browns,33,23,Cleveland Browns,Cincinnati Bengals,0.6
17,New York Jets,Buffalo Bills,13,6,Buffalo Bills,New York Jets,0.4827586206896552
17,Denver Broncos,Oakland Raiders,16,15,Oakland Raiders,Denver Broncos,0.46153846153846156
17,Tennessee Titans,Houston Texans,35,14,Houston Texans,Tennessee Titans,0.5151515151515151
17,Jacksonville Jaguars,Indianapolis Colts,38,20,Indianapolis Colts,Jacksonville Jaguars,0.4838709677419355
17,Philadelphia Eagles,New York Giants,34,17,New York Giants,Philadelphia Eagles,0.375
17,Dallas Cowboys,Washington Redskins,47,16,Washington Redskins,Dallas Cowboys,0.4
17,Baltimore Ravens,Pittsburgh Steelers,28,10,Pittsburgh Steelers,Baltimore Ravens,0.5277777777777778
17,Los Angeles Rams,Arizona Cardinals,31,24,Arizona Cardinals,Los Angeles Rams,0.3225806451612903
17,San Francisco 49ers,Seattle Seahawks,26,21,Seattle Seahawks,San Francisco 49ers,0.5294117647058824
17,New Orleans Saints,Carolina Panthers,42,10,Carolina Panthers,New Orleans Saints,0.43243243243243246
17,Kansas City Chiefs,Los Angeles Chargers,31,21,Los Angeles Chargers,Kansas City Chiefs,0.4878048780487805
17,Green Bay Packers,Detroit Lions,23,20,Detroit Lions,Green Bay Packers,0.41935483870967744
17,Atlanta Falcons,Tampa Bay Buccaneers,28,22,Tampa Bay Buccaneers,Atlanta Falcons,0.43333333333333335
17,Miami Dolphins,New England Patriots,27,24,New England Patriots,Miami Dolphins,0.71875
17,Chicago Bears,Minnesota Vikings,21,19,Minnesota Vikings,Chicago Bears,0.5
17,Cincinnati Bengals,Cleveland Browns,33,23,Cleveland Browns,Cincinnati Bengals,0.6
17,New York Jets,Buffalo Bills,13,6,Buffalo Bills,New York Jets,0.4827586206896552
17,Denver Broncos,Oakland Raiders,16,15,Oakland Raiders,Denver Broncos,0.46153846153846156
17,Tennessee Titans,Houston Texans,35,14,Houston Texans,Tennessee Titans,0.5151515151515151
17,Jacksonville Jaguars,Indianapolis Colts,38,20,Indianapolis Colts,Jacksonville Jaguars,0.4838709677419355
17,Philadelphia Eagles,New York Giants,34,17,New York Giants,Philadelphia Eagles,0.375
17,Dallas Cowboys,Washington Redskins,47,16,Washington Redskins,Dallas Cowboys,0.4
17,Baltimore Ravens,Pittsburgh Steelers,28,10,Pittsburgh Steelers,Baltimore Ravens,0.5277777777777778
17,Los Angeles Rams,Arizona Cardinals,31,24,Arizona Cardinals,Los Angeles Rams,0.3225806451612903
17,San Francisco 49ers,Seattle Seahawks,26,21,Seattle Seahawks,San Francisco 49ers,0.5294117647058824
