Week,Winner,Loser,PtsW,PtsL,Team,Opponent,Win Prob
15,Baltimore Ravens,New York Jets,42,21,New York Jets,Baltimore Ravens,0.46875
15,Green Bay Packers,Chicago Bears,21,13,Chicago Bears,Green Bay Packers,0.5
15,New York Giants,Miami Dolphins,36,20,Miami Dolphins,New York Giants,0.42857142857142855
15,New England Patriots,Cincinnati Bengals,34,13,Cincinnati Bengals,New England Patriots,0.34285714285714286
15,Seattle Seahawks,Carolina Panthers,30,24,Carolina Panthers,Seattle Seahawks,0.47058823529411764
15,Kansas City Chiefs,Denver Broncos,23,3,Denver Broncos,Kansas City Chiefs,0.4
15,Philadelphia Eagles,Washington Redskins,37,27,Washington Redskins,Philadelphia Eagles,0.375
15,Houston Texans,Tennessee Titans,24,21,Tennessee Titans,Houston Texans,0.48484848484848486
15,Tampa Bay Buccaneers,Detroit Lions,38,17,Detroit Lions,Tampa Bay Buccaneers,0.5
15,Arizona Cardinals,Cleveland Browns,38,24,Cleveland Browns,Arizona Cardinals,0.6428571428571429
15,Minnesota Vikings,Los Angeles Chargers,39,10,Los Angeles Chargers,Minnesota Vikings,0.5263157894736842
15,Jacksonville Jaguars,Oakland Raiders,20,16,Oakland Raiders,Jacksonville Jaguars,0.42857142857142855
15,Dallas Cowboys,Los Angeles Rams,44,21,Los Angeles Rams,Dallas Cowboys,0.5384615384615384
15,Atlanta Falcons,San Francisco 49ers,29,22,San Francisco 49ers,Atlanta Falcons,0.48484848484848486
15,Buffalo Bills,Pittsburgh Steelers,17,10,Pittsburgh Steelers,Buffalo Bills,0.5757575757575758
15,New Orleans Saints,Indianapolis Colts,34,7,Indianapolis Colts,New Orleans Saints,0.4166666666666667
15,Baltimore Ravens,New York Jets,42,21,New York Jets,Baltimore Ravens,0.46875
15,Green Bay Packers,Chicago Bears,21,13,Chicago Bears,Green Bay Packers,0.5
15,New York Giants,Miami Dolphins,36,20,Miami Dolphins,New York Giants,0.42857142857142855
15,New England Patriots,Cincinnati Bengals,34,13,Cincinnati Bengals,New England Patriots,0.34285714285714286
15,Seattle Seahawks,Carolina Panthers,30,24,Carolina Panthers,Seattle Seahawks,0.47058823529411764
15,Kansas City Chiefs,Denver Broncos,23,3,Denver Broncos,Kansas City Chiefs,0.4
15,Philadelphia Eagles,Washington Redskins,37,27,Washington Redskins,Philadelphia Eagles,0.375
15,Houston Texans,Tennessee Titans,24,21,Tennessee Titans,Houston Texans,0.48484848484848486
15,Tampa Bay Buccaneers,Detroit Lions,38,17,Detroit Lions,Tampa Bay Buccaneers,0.5
15,Arizona Cardinals,Cleveland Browns,38,24,Cleveland Browns,Arizona Cardinals,0.6428571428571429
15,Minnesota Vikings,Los Angeles Chargers,39,10,Los Angeles Chargers,Minnesota Vikings,0.5263157894736842
15,Jacksonville Jaguars,Oakland Raiders,20,16,Oakland Raiders,Jacksonville Jaguars,0.42857142857142855
15,Dallas Cowboys,Los Angeles Rams,44,21,Los Angeles Rams,Dallas Cowboys,0.5384615384615384
15,Atlanta Falcons,San Francisco 49ers,29,22,San Francisco 49ers,Atlanta Falcons,0.48484848484848486
15,Buffalo Bills,Pittsburgh Steelers,17,10,Pittsburgh Steelers,Buffalo Bills,0.5757575757575758
15,New Orleans Saints,Indianapolis Colts,34,7,Indianapolis Colts,New Orleans Saints,0.4166666666666667
