Week,Winner,Loser,PtsW,PtsL,Team,Opponent,Win Prob
17,New Orleans Saints,Carolina Panthers,42,10,New Orleans Saints,Carolina Panthers,0.6293885472175023
17,Kansas City Chiefs,Los Angeles Chargers,31,21,Kansas City Chiefs,Los Angeles Chargers,0.5230095872975623
17,Green Bay Packers,Detroit Lions,23,20,Green Bay Packers,Detroit Lions,0.4483764526890395
17,Atlanta Falcons,Tampa Bay Buccaneers,28,22,Atlanta Falcons,Tampa Bay Buccaneers,0.6062878237854281
17,Miami Dolphins,New England Patriots,27,24,Miami Dolphins,New England Patriots,0.21400339771784252
17,Chicago Bears,Minnesota Vikings,21,19,Chicago Bears,Minnesota Vikings,0.5728722513945045
17,Cincinnati Bengals,Cleveland Browns,33,23,Cincinnati Bengals,Cleveland Browns,0.46122190794282847
17,New York Jets,Buffalo Bills,13,6,New York Jets,Buffalo Bills,0.41031649686004995
17,Denver Broncos,Oakland Raiders,16,15,Denver Broncos,Oakland Raiders,0.5629847281035958
17,Tennessee Titans,Houston Texans,35,14,Tennessee Titans,Houston Texans,0.5057562084111449
17,Jacksonville Jaguars,Indianapolis Colts,38,20,Jacksonville Jaguars,Indianapolis Colts,0.3520169867496943
17,Philadelphia Eagles,New York Giants,34,17,Philadelphia Eagles,New York Giants,0.6900062072803139
17,Dallas Cowboys,Washington Redskins,47,16,Dallas Cowboys,Washington Redskins,0.6479830132503057
17,Baltimore Ravens,Pittsburgh Steelers,28,10,Baltimore Ravens,Pittsburgh Steelers,0.4985608882908471
17,Los Angeles Rams,Arizona Cardinals,31,24,Los Angeles Rams,Arizona Cardinals,0.7741479777018306
17,San Francisco 49ers,Seattle Seahawks,26,21,San Francisco 49ers,Seattle Seahawks,0.3063120835780346
17,New Orleans Saints,Carolina Panthers,42,10,Carolina Panthers,New Orleans Saints,0.37061145278249774
17,Kansas City Chiefs,Los Angeles Chargers,31,21,Los Angeles Chargers,Kansas City Chiefs,0.4769904127024377
17,Green Bay Packers,Detroit Lions,23,20,Detroit Lions,Green Bay Packers,0.5516235473109605
17,Atlanta Falcons,Tampa Bay Buccaneers,28,22,Tampa Bay Buccaneers,Atlanta Falcons,0.3937121762145718
17,Miami Dolphins,New England Patriots,27,24,New England Patriots,Miami Dolphins,0.7859966022821575
17,Chicago Bears,Minnesota Vikings,21,19,Minnesota Vikings,Chicago Bears,0.4271277486054956
17,Cincinnati Bengals,Cleveland Browns,33,23,Cleveland Browns,Cincinnati Bengals,0.5387780920571715
17,New York Jets,Buffalo Bills,13,6,Buffalo Bills,New York Jets,0.5896835031399501
17,Denver Broncos,Oakland Raiders,16,15,Oakland Raiders,Denver Broncos,0.43701527189640416
17,Tennessee Titans,Houston Texans,35,14,Houston Texans,Tennessee Titans,0.49424379158885506
17,Jacksonville Jaguars,Indianapolis Colts,38,20,Indianapolis Colts,Jacksonville Jaguars,0.6479830132503057
17,Philadelphia Eagles,New York Giants,34,17,New York Giants,Philadelphia Eagles,0.30999379271968613
17,Dallas Cowboys,Washington Redskins,47,16,Washington Redskins,Dallas Cowboys,0.3520169867496943
17,Baltimore Ravens,Pittsburgh Steelers,28,10,Pittsburgh Steelers,Baltimore Ravens,0.5014391117091528
17,Los Angeles Rams,Arizona Cardinals,31,24,Arizona Cardinals,Los Angeles Rams,0.22585202229816936
17,San Francisco 49ers,Seattle Seahawks,26,21,Seattle Seahawks,San Francisco 49ers,0.6936879164219654
