Week,Winner,Loser,PtsW,PtsL,Team,Opponent,Win Prob
15,Baltimore Ravens,New York Jets,42,21,Baltimore Ravens,New York Jets,0.7447304068650347
15,Green Bay Packers,Chicago Bears,21,13,Green Bay Packers,Chicago Bears,0.3161836858063414
15,New York Giants,Miami Dolphins,36,20,New York Giants,Miami Dolphins,0.5402082283237456
15,New England Patriots,Cincinnati Bengals,34,13,New England Patriots,Cincinnati Bengals,0.7721286734685839
15,Seattle Seahawks,Carolina Panthers,30,24,Seattle Seahawks,Carolina Panthers,0.5658152030692333
15,Kansas City Chiefs,Denver Broncos,23,3,Kansas City Chiefs,Denver Broncos,0.7069752948085409
15,Philadelphia Eagles,Washington Redskins,37,27,Philadelphia Eagles,Washington Redskins,0.6924633925795177
15,Houston Texans,Tennessee Titans,24,21,Houston Texans,Tennessee Titans,0.49424379158885506
15,Tampa Bay Buccaneers,Detroit Lions,38,17,Tampa Bay Buccaneers,Detroit Lions,0.43418479693076684
15,Arizona Cardinals,Cleveland Browns,38,24,Arizona Cardinals,Cleveland Browns,0.39784190682528303
15,Minnesota Vikings,Los Angeles Chargers,39,10,Minnesota Vikings,Los Angeles Chargers,0.43135860811633236
15,Jacksonville Jaguars,Oakland Raiders,20,16,Jacksonville Jaguars,Oakland Raiders,0.5714631174083814
15,Dallas Cowboys,Los Angeles Rams,44,21,Dallas Cowboys,Los Angeles Rams,0.4271277486054956
15,Atlanta Falcons,San Francisco 49ers,29,22,Atlanta Falcons,San Francisco 49ers,0.6360768996878818
15,Buffalo Bills,Pittsburgh Steelers,17,10,Buffalo Bills,Pittsburgh Steelers,0.32875941918416823
15,New Orleans Saints,Indianapolis Colts,34,7,New Orleans Saints,Indianapolis Colts,0.5714631174083814
15,Baltimore Ravens,New York Jets,42,21,New York Jets,Baltimore Ravens,0.25526959313496533
15,Green Bay Packers,Chicago Bears,21,13,Chicago Bears,Green Bay Packers,0.6838163141936586
15,New York Giants,Miami Dolphins,36,20,Miami Dolphins,New York Giants,0.45979177167625435
15,New England Patriots,Cincinnati Bengals,34,13,Cincinnati Bengals,New England Patriots,0.22787132653141615
15,Seattle Seahawks,Carolina Panthers,30,24,Carolina Panthers,Seattle Seahawks,0.43418479693076684
15,Kansas City Chiefs,Denver Broncos,23,3,Denver Broncos,Kansas City Chiefs,0.293024705191459
15,Philadelphia Eagles,Washington Redskins,37,27,Washington Redskins,Philadelphia Eagles,0.3075366074204823
15,Houston Texans,Tennessee Titans,24,21,Tennessee Titans,Houston Texans,0.5057562084111449
15,Tampa Bay Buccaneers,Detroit Lions,38,17,Detroit Lions,Tampa Bay Buccaneers,0.5658152030692333
15,Arizona Cardinals,Cleveland Browns,38,24,Cleveland Browns,Arizona Cardinals,0.6021580931747169
15,Minnesota Vikings,Los Angeles Chargers,39,10,Los Angeles Chargers,Minnesota Vikings,0.5686413918836677
15,Jacksonville Jaguars,Oakland Raiders,20,16,Oakland Raiders,Jacksonville Jaguars,0.4285368825916186
15,Dallas Cowboys,Los Angeles Rams,44,21,Los Angeles Rams,Dallas Cowboys,0.5728722513945045
15,Atlanta Falcons,San Francisco 49ers,29,22,San Francisco 49ers,Atlanta Falcons,0.36392310031211805
15,Buffalo Bills,Pittsburgh Steelers,17,10,Pittsburgh Steelers,Buffalo Bills,0.6712405808158318
15,New Orleans Saints,Indianapolis Colts,34,7,Indianapolis Colts,New Orleans Saints,0.4285368825916186
